Personality,agentType,nrPlayers,nrCrazyInvestors,nrHighRollerInvestors,nrNormalInvestors,nrSafeBetterInvestors,nrCrazyManagers,nrHighRollerManagers,nrNormalManagers,nrSafeBetterManagers,nrCompanies,nrBlueCompanies,nrGreenCompanies,nrYellowCompanies,nrRedCompanies,finalCapital,winner
Normal,manager,6,0,1,2,0,0,1,2,0,2,0,0,2,0,75,true
Normal,manager,6,0,1,2,0,0,1,2,0,2,0,0,2,0,75,true
HighRoller,manager,6,0,1,2,0,0,1,2,0,2,0,0,2,0,75,true
Normal,investor,6,1,0,1,1,1,2,0,0,3,3,0,0,0,390,true
SafeBetter,investor,6,1,0,1,1,1,2,0,0,3,3,0,0,0,290,false
Crazy,investor,6,1,0,1,1,1,2,0,0,3,3,0,0,0,250,false
HighRoller,manager,6,1,0,1,1,1,2,0,0,3,3,0,0,0,375,true
HighRoller,manager,6,1,0,1,1,1,2,0,0,3,3,0,0,0,225,false
Crazy,manager,6,1,0,1,1,1,2,0,0,3,3,0,0,0,150,false
Crazy,investor,6,2,0,0,1,0,0,3,0,5,0,2,1,2,25,false
Crazy,investor,6,2,0,0,1,0,0,3,0,5,0,2,1,2,130,false
SafeBetter,investor,6,2,0,0,1,0,0,3,0,5,0,2,1,2,180,true
Normal,manager,6,2,0,0,1,0,0,3,0,5,0,2,1,2,270,false
Normal,manager,6,2,0,0,1,0,0,3,0,5,0,2,1,2,270,false
Normal,manager,6,2,0,0,1,0,0,3,0,5,0,2,1,2,435,true
Crazy,investor,6,1,2,0,0,1,1,0,1,6,0,3,0,3,120,true
HighRoller,investor,6,1,2,0,0,1,1,0,1,6,0,3,0,3,-20,false
HighRoller,investor,6,1,2,0,0,1,1,0,1,6,0,3,0,3,-20,false
SafeBetter,manager,6,1,2,0,0,1,1,0,1,6,0,3,0,3,90,true
Crazy,manager,6,1,2,0,0,1,1,0,1,6,0,3,0,3,90,true
HighRoller,manager,6,1,2,0,0,1,1,0,1,6,0,3,0,3,0,false
Crazy,investor,6,1,2,0,0,1,0,0,2,5,2,1,0,2,120,true
HighRoller,investor,6,1,2,0,0,1,0,0,2,5,2,1,0,2,120,true
HighRoller,investor,6,1,2,0,0,1,0,0,2,5,2,1,0,2,120,true
Crazy,manager,6,1,2,0,0,1,0,0,2,5,2,1,0,2,90,true
SafeBetter,manager,6,1,2,0,0,1,0,0,2,5,2,1,0,2,0,false
SafeBetter,manager,6,1,2,0,0,1,0,0,2,5,2,1,0,2,90,true
HighRoller,investor,6,1,1,1,0,2,0,1,0,6,3,0,3,0,715,false
Crazy,investor,6,1,1,1,0,2,0,1,0,6,3,0,3,0,480,false
Normal,investor,6,1,1,1,0,2,0,1,0,6,3,0,3,0,730,true
Normal,manager,6,1,1,1,0,2,0,1,0,6,3,0,3,0,375,false
Crazy,manager,6,1,1,1,0,2,0,1,0,6,3,0,3,0,375,false
Crazy,manager,6,1,1,1,0,2,0,1,0,6,3,0,3,0,675,true
SafeBetter,investor,6,0,1,1,1,1,0,2,0,5,1,2,1,1,400,true
Normal,investor,6,0,1,1,1,1,0,2,0,5,1,2,1,1,295,false
HighRoller,investor,6,0,1,1,1,1,0,2,0,5,1,2,1,1,-20,false
Normal,manager,6,0,1,1,1,1,0,2,0,5,1,2,1,1,395,true
Normal,manager,6,0,1,1,1,1,0,2,0,5,1,2,1,1,320,false
Crazy,manager,6,0,1,1,1,1,0,2,0,5,1,2,1,1,260,false
Normal,investor,6,1,0,2,0,0,2,1,0,7,2,3,1,1,85,false
Normal,investor,6,1,0,2,0,0,2,1,0,7,2,3,1,1,85,false
Crazy,investor,6,1,0,2,0,0,2,1,0,7,2,3,1,1,380,true
HighRoller,manager,6,1,0,2,0,0,2,1,0,7,2,3,1,1,355,true
HighRoller,manager,6,1,0,2,0,0,2,1,0,7,2,3,1,1,280,false
Normal,manager,6,1,0,2,0,0,2,1,0,7,2,3,1,1,355,true
HighRoller,investor,6,2,1,0,0,0,0,1,2,1,0,0,0,1,305,true
Crazy,investor,6,2,1,0,0,0,0,1,2,1,0,0,0,1,120,false
Crazy,investor,6,2,1,0,0,0,0,1,2,1,0,0,0,1,85,false
SafeBetter,manager,6,2,1,0,0,0,0,1,2,1,0,0,0,1,90,false
SafeBetter,manager,6,2,1,0,0,0,0,1,2,1,0,0,0,1,90,false
Normal,manager,6,2,1,0,0,0,0,1,2,1,0,0,0,1,390,true
Crazy,investor,6,2,0,1,0,0,1,2,0,4,1,1,1,1,390,true
Crazy,investor,6,2,0,1,0,0,1,2,0,4,1,1,1,1,120,false
Normal,investor,6,2,0,1,0,0,1,2,0,4,1,1,1,1,145,false
HighRoller,manager,6,2,0,1,0,0,1,2,0,4,1,1,1,1,110,false
Normal,manager,6,2,0,1,0,0,1,2,0,4,1,1,1,1,110,false
Normal,manager,6,2,0,1,0,0,1,2,0,4,1,1,1,1,275,true
Normal,investor,6,2,0,1,0,2,0,0,1,3,3,0,0,0,400,false
Crazy,investor,6,2,0,1,0,2,0,0,1,3,3,0,0,0,120,false
Crazy,investor,6,2,0,1,0,2,0,0,1,3,3,0,0,0,480,true
SafeBetter,manager,6,2,0,1,0,2,0,0,1,3,3,0,0,0,150,false
Crazy,manager,6,2,0,1,0,2,0,0,1,3,3,0,0,0,150,false
Crazy,manager,6,2,0,1,0,2,0,0,1,3,3,0,0,0,450,true
SafeBetter,investor,6,0,0,0,3,1,1,0,1,6,1,2,0,3,380,true
SafeBetter,investor,6,0,0,0,3,1,1,0,1,6,1,2,0,3,140,false
SafeBetter,investor,6,0,0,0,3,1,1,0,1,6,1,2,0,3,160,false
SafeBetter,manager,6,0,0,0,3,1,1,0,1,6,1,2,0,3,440,false
HighRoller,manager,6,0,0,0,3,1,1,0,1,6,1,2,0,3,440,false
Crazy,manager,6,0,0,0,3,1,1,0,1,6,1,2,0,3,740,true
Normal,investor,6,0,1,1,1,1,0,1,1,4,3,0,1,0,15,false
SafeBetter,investor,6,0,1,1,1,1,0,1,1,4,3,0,1,0,240,true
HighRoller,investor,6,0,1,1,1,1,0,1,1,4,3,0,1,0,15,false
Crazy,manager,6,0,1,1,1,1,0,1,1,4,3,0,1,0,225,false
SafeBetter,manager,6,0,1,1,1,1,0,1,1,4,3,0,1,0,175,false
Normal,manager,6,0,1,1,1,1,0,1,1,4,3,0,1,0,300,true
Normal,investor,6,1,0,1,1,1,0,1,1,6,1,3,1,1,665,false
Crazy,investor,6,1,0,1,1,1,0,1,1,6,1,3,1,1,590,false
SafeBetter,investor,6,1,0,1,1,1,0,1,1,6,1,3,1,1,710,true
Crazy,manager,6,1,0,1,1,1,0,1,1,6,1,3,1,1,395,false
SafeBetter,manager,6,1,0,1,1,1,0,1,1,6,1,3,1,1,395,false
Normal,manager,6,1,0,1,1,1,0,1,1,6,1,3,1,1,695,true
Normal,investor,6,2,0,1,0,1,1,0,1,9,0,3,3,3,30,false
Crazy,investor,6,2,0,1,0,1,1,0,1,9,0,3,3,3,45,true
Crazy,investor,6,2,0,1,0,1,1,0,1,9,0,3,3,3,25,false
SafeBetter,manager,6,2,0,1,0,1,1,0,1,9,0,3,3,3,405,false
HighRoller,manager,6,2,0,1,0,1,1,0,1,9,0,3,3,3,450,true
Crazy,manager,6,2,0,1,0,1,1,0,1,9,0,3,3,3,285,false
HighRoller,investor,6,1,2,0,0,1,0,2,0,3,1,1,1,0,65,false
HighRoller,investor,6,1,2,0,0,1,0,2,0,3,1,1,1,0,65,false
Crazy,investor,6,1,2,0,0,1,0,2,0,3,1,1,1,0,440,true
Crazy,manager,6,1,2,0,0,1,0,2,0,3,1,1,1,0,185,true
Normal,manager,6,1,2,0,0,1,0,2,0,3,1,1,1,0,110,false
Normal,manager,6,1,2,0,0,1,0,2,0,3,1,1,1,0,185,true
HighRoller,investor,6,2,1,0,0,1,0,1,1,8,3,3,2,0,105,false
Crazy,investor,6,2,1,0,0,1,0,1,1,8,3,3,2,0,120,true
Crazy,investor,6,2,1,0,0,1,0,1,1,8,3,3,2,0,120,true
Normal,manager,6,2,1,0,0,1,0,1,1,8,3,3,2,0,75,true
SafeBetter,manager,6,2,1,0,0,1,0,1,1,8,3,3,2,0,60,false
Crazy,manager,6,2,1,0,0,1,0,1,1,8,3,3,2,0,0,false
SafeBetter,investor,6,0,0,0,3,1,0,1,1,7,3,2,2,0,450,true
SafeBetter,investor,6,0,0,0,3,1,0,1,1,7,3,2,2,0,380,false
SafeBetter,investor,6,0,0,0,3,1,0,1,1,7,3,2,2,0,380,false
SafeBetter,manager,6,0,0,0,3,1,0,1,1,7,3,2,2,0,420,false
Normal,manager,6,0,0,0,3,1,0,1,1,7,3,2,2,0,720,true
Crazy,manager,6,0,0,0,3,1,0,1,1,7,3,2,2,0,420,false
Normal,investor,6,0,1,1,1,0,1,0,2,8,0,3,3,2,590,false
SafeBetter,investor,6,0,1,1,1,0,1,0,2,8,0,3,3,2,610,true
HighRoller,investor,6,0,1,1,1,0,1,0,2,8,0,3,3,2,595,false
SafeBetter,manager,6,0,1,1,1,0,1,0,2,8,0,3,3,2,585,false
SafeBetter,manager,6,0,1,1,1,0,1,0,2,8,0,3,3,2,585,false
HighRoller,manager,6,0,1,1,1,0,1,0,2,8,0,3,3,2,735,true
Normal,investor,6,1,0,2,0,1,1,1,0,6,1,1,1,3,145,false
Normal,investor,6,1,0,2,0,1,1,1,0,6,1,1,1,3,110,false
Crazy,investor,6,1,0,2,0,1,1,1,0,6,1,1,1,3,420,true
Normal,manager,6,1,0,2,0,1,1,1,0,6,1,1,1,3,275,true
Crazy,manager,6,1,0,2,0,1,1,1,0,6,1,1,1,3,110,false
HighRoller,manager,6,1,0,2,0,1,1,1,0,6,1,1,1,3,260,false
HighRoller,investor,6,0,1,1,1,1,2,0,0,9,3,3,0,3,520,true
Normal,investor,6,0,1,1,1,1,2,0,0,9,3,3,0,3,200,false
SafeBetter,investor,6,0,1,1,1,1,2,0,0,9,3,3,0,3,360,false
HighRoller,manager,6,0,1,1,1,1,2,0,0,9,3,3,0,3,450,false
Crazy,manager,6,0,1,1,1,1,2,0,0,9,3,3,0,3,500,true
HighRoller,manager,6,0,1,1,1,1,2,0,0,9,3,3,0,3,480,false
HighRoller,investor,6,1,1,0,1,0,2,0,1,7,2,2,2,1,-70,false
SafeBetter,investor,6,1,1,0,1,0,2,0,1,7,2,2,2,1,275,false
Crazy,investor,6,1,1,0,1,0,2,0,1,7,2,2,2,1,705,true
SafeBetter,manager,6,1,1,0,1,0,2,0,1,7,2,2,2,1,260,false
